1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,"19-27","28-36","37-45",46-54,55-63,64-72,73-81,82-90,91-99,100-108,109-117,118-126,127-135,136-144,145-153,,,
2-2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-7,67.00%,33.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-13,50.00%,30.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-19,49.18%,24.59%,16.39%,9.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-25,45.45%,22.73%,15.15%,9.09%,7.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-32,42.68%,21.34%,14.23%,8.54%,7.11%,6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33-40,40.52%,20.26%,13.51%,8.10%,6.75%,5.79%,5.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-50,38.76%,19.39%,12.93%,7.76%,6.46%,5.54%,4.85%,4.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-60,37.33%,18.66%,12.44%,7.47%,6.22%,5.33%,4.67%,4.15%,3.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-70,36.20%,18.10%,12.07%,7.24%,6.03%,5.17%,4.53%,4.02%,3.62%,3.02%,,,,,,,,,,,,,,,,,,,,,,,,,,
71-80,35.23%,17.61%,11.74%,7.04%,5.87%,5.03%,4.40%,3.91%,3.51%,2.83%,2.83%,,,,,,,,,,,,,,,,,,,,,,,,,
81-90,34.36%,17.18%,11.45%,6.87%,5.73%,4.91%,4.29%,3.82%,3.44%,2.65%,2.65%,2.65%,,,,,,,,,,,,,,,,,,,,,,,,
91-100,33.58%,16.79%,11.20%,6.72%,5.60%,4.80%,4.20%,3.73%,3.36%,2.59%,2.59%,2.59%,2.25%,,,,,,,,,,,,,,,,,,,,,,,
101-110,32.89%,16.45%,10.97%,6.58%,5.48%,4.70%,4.11%,3.66%,3.28%,2.54%,2.54%,2.54%,2.13%,2.13%,,,,,,,,,,,,,,,,,,,,,,
111-120,32.26%,16.14%,10.76%,6.45%,5.38%,4.61%,4.03%,3.59%,3.25%,2.49%,2.49%,2.49%,2.02%,2.02%,2.02%,,,,,,,,,,,,,,,,,,,,,
121-130,31.73%,15.85%,10.57%,6.34%,5.28%,4.53%,3.96%,3.52%,3.17%,2.45%,2.45%,2.45%,1.98%,1.98%,1.98%,1.76%,,,,,,,,,,,,,,,,,,,,
131-140,31.19%,15.59%,10.39%,6.24%,5.20%,4.45%,3.90%,3.46%,3.12%,2.41%,2.41%,2.41%,1.95%,1.95%,1.95%,1.69%,1.69%,,,,,,,,,,,,,,,,,,,
141-180,30.69%,15.35%,10.23%,6.14%,5.12%,4.39%,3.84%,3.41%,3.07%,2.37%,2.37%,2.37%,1.93%,1.93%,1.93%,1.62%,1.62%,1.62%,,,,,,,,,,,,,,,,,,
